nome,preco
batata yacon,7.9
berinjela,11.0
beterraba,8.8
cebola,11.0
cebola roxa,13.8
cebolinha,66.66666666666667
cenoura,13.5
chimia artesanal de banana,38.0
chuchú,7.9
couve verde  maço,13.333333333333334
ervilha torta,32.66666666666667
espinafre,16.333333333333336
feijão preto,12.9
geleia de abacaxi  artesanal,65.0
geleia de goiaba  artesanal,65.0
geleia de kinkan,65.0
geléia de pimenta,59.09090909090909
gengibre,25.0
granola cacau  native,71.6
granola tradicional  native,67.6
inhame,11.8
laranja lima,8.9
laranja  para suco,6.9
limão caipira,7.8
limão tahiti,9.8
maçã,13.8
mandioca,4.9
maracujá,15.8
mel,64.22222222222223
mimosa,9.8
pepino japonês,9.8
pimentão verde,11.8
pimentão vermelho,23.8
pimentões coloridos s,19.77777777777778
queijo brie witmarsum,94.5
queijo colonial com pimenta verde witmarsum,76.33333333333333
queijo colonial witmarsum,75.51724137931033
queijo minas frescal witmarsum,49.66666666666667
queijo tipo asiago witmarsum fracionado,73.0
queijo tipo camembert,84.5
queijo tipo emmental witmarsum fracionado,89.66666666666667
ricota fresca witmarsum,35.6
rúcula  maço,35.0
salsinha maço,50.0
sugo di pomodoro artigianale,82.3529411764706
sugo di pomodoro artigianale,66.66666666666667
tomate,13.0
tomatinho grape,23.6
vagem,11.666666666666668
abacate,5.49
abacaxi descascado e cortado,19.9
aipim descascado,4.98
alecrim,99.75
alfavaca,99.75
alho,34.85
alho poró,19.9
banana caturra,2.99
banana prata,3.47
batata,2.99
batata doce rosada,2.97
berinjela,9.98
beterraba,5.98
beterraba,11.74
brócolis hanapon,15.88
cebola média,6.56
cebola média,4.98
cebola roxa,9.97
cenoura,5.96
chuchu,6.98
cogumelo paris,29.96666666666667
cogumelo shitake,54.95
espinafre folhas,29.900000000000002
hortelã,99.75
kiwi,23.26666666666667
laranja importada,9.78
laranja kinkan,14.9
laranja lima-da-pérsia,4.99
laranja pera,2.98
louro folhas,199.5
maças turma da mônica,6.99
mandioquinha salsa,4.97
manga descascada e cortada,24.35
manga tommy,6.49
manjericão,99.75
maracujá azedo,7.99
melancia descascada e cortada,9.981818181818182
milho verde,7.94
mix brócolis e couve-flor floretes,24.900000000000002
nectarina,23.94
orégano,99.75
pepino japonês,8.98
pêssego,25.96
